"Periodo","Mes","Codigo_departamento","Departamento","Codigo_municipio","Municipio","Nombre_comercial","Bandera","Direccion","Producto","Precio","Estado"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","SUPER ESTACION DE SERVICIO TEXACO 10","TEXACO","AVENIDA CARRERA 7 No. 123A-48","GASOLINA CORRIENTE OXIGENADA","9.860","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","SUPER ESTACION DE SERVICIO TEXACO 10","TEXACO","AVENIDA CARRERA 7 No. 123A-48","BIODIESEL EXTRA","9.780","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","SUPER ESTACION DE SERVICIO TEXACO 10","TEXACO","AVENIDA CARRERA 7 No. 123A-48","GASOLINA EXTRA OXIGENADA","17.250","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","SUPER ESTACION DE SERVICIO TEXACO 10","TEXACO","AVENIDA CARRERA 7 No. 123A-48","GASOLINA CORRIENTE OXIGENADA","9.860","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","SUPER ESTACION DE SERVICIO TEXACO 10","TEXACO","AVENIDA CARRERA 7 No. 123A-48","BIODIESEL EXTRA","9.780","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","SUPER ESTACION DE SERVICIO TEXACO 10","TEXACO","AVENIDA CARRERA 7 No. 123A-48","GASOLINA EXTRA OXIGENADA","17.600","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO ROXI","MOBIL","Carrera 24  No 7-11","GASOLINA EXTRA OXIGENADA","16.860","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO ROXI","MOBIL","Carrera 24  No 7-11","BIODIESEL EXTRA","9.145","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO ROXI","MOBIL","Carrera 24  No 7-11","GASOLINA CORRIENTE OXIGENADA","9.398","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","SERVICENTRO ESSO SANTA ISABEL","MOBIL","Avenida Carrera 30 # 2 - 38","BIODIESEL EXTRA","9.034","A"
